trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 1.0}",20,0,-98.79580306404745,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9999875000260416}",25,0,-169.0872008625397,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.9999500004166653}",25,0,-138.1104873704209,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.3, 'e': 0.9998875021093592}",25,0,-124.41474166646432,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.9998000066665778}",30,0,-176.14020871437793,"{0: 14, 1: 6, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.9996875162757026}",20,10,-92.01871156187862,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.3, 'e': 0.9995500337489875}",20,0,-150.81395520169596,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.3, 'e': 0.9993875625234886}",30,0,-98.72597652668023,"{0: 17, 1: 2, 2: 11, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.9992001066609779}",20,0,-46.69403200673561,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.9989876708478425}",25,0,-168.5713153632916,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
11,False,"{'a': 0.3, 'e': 0.9987502603949663}",20,0,-144.00810260748838,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.3, 'e': 0.9984878812375985}",20,0,-116.95884023957588,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.9982005399352042}",20,0,-98.17240023016144,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.9978882436713011}",30,10,-90.39855715889401,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",1
15,False,"{'a': 0.3, 'e': 0.9975510002532796}",25,0,-94.67692379666826,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.9971888181122075}",25,0,-36.84292519326352,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.9968017063026194}",35,7,-65.6321865417345,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.9963896745022904}",30,0,-141.8004703866197,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.9959527330119943}",25,0,-173.17238784411649,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.9954908927552453}",20,0,-84.78902379526289,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.9950041652780257}",20,0,-230.95522568888617,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
22,False,"{'a': 0.3, 'e': 0.9944925627484974}",20,0,-19.716412323306347,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.3, 'e': 0.9939560979566968}",25,0,-95.8684654916087,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
24,False,"{'a': 0.3, 'e': 0.9933947843142158}",20,0,-12.390979938966263,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.9928086358538663}",30,0,-105.76182032111895,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
26,False,"{'a': 0.3, 'e': 0.992197667229329}",20,0,-133.7983290350489,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.3, 'e': 0.9915618937147881}",20,0,-90.01310962449715,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.9909013312045479}",20,0,-73.11731338697273,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.9902159962126371}",30,0,-70.15731459397514,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
30,False,"{'a': 0.3, 'e': 0.9895059058723947}",30,0,-190.2729090966891,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
31,False,"{'a': 0.3, 'e': 0.9887710779360422}",25,0,-216.42449829756805,"{0: 10, 1: 4, 2: 5, 3: 4, 4: 2}",0
32,False,"{'a': 0.3, 'e': 0.9880115307742399}",20,0,-146.78667903170168,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.3, 'e': 0.9872272833756269}",20,0,-65.65868059804187,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
34,False,"{'a': 0.3, 'e': 0.9864183553463477}",20,12,-21.551012212432415,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.9855847669095608}",20,0,-53.747960925909034,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.3, 'e': 0.9847265389049334}",20,0,-52.106406857895976,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.9838436927881214}",30,0,-210.72589326421954,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
38,False,"{'a': 0.3, 'e': 0.9829362506302315}",25,0,5.5249695290449745,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.3, 'e': 0.9820042351172703}",30,0,-161.57340520637933,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
