trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-99.19245241062927,"{0: 23, 1: 6, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.88682015973598,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.9406526362014,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.7167103032698,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.61197322671102,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.67844728859816,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.35068903639579,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.751989172319,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-220.53358400397644,"{0: 12, 1: 3, 2: 4, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,3,-50.83392310935974,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.99353686121246,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.6388711815946,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,6,-85.56133389026313,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.25998320496413,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.0711800825835,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-228.0354869982009,"{0: 20, 1: 5, 2: 4, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.85241338072396,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.69615745471998,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.7879047563787,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,7,-39.13267639428848,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.8990179373183,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-261.77713545671213,"{0: 11, 1: 2, 2: 6, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.35049356532814,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.82720951014946,"{0: 16, 1: 7, 2: 5, 3: 0, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.69025637843154,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,10,-71.47508477699404,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-7.295951956122844,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-62.02121341645591,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.36016498941368,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,17,-104.11353428678535,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 2}",1
